Year Built,count
2020.0,1279
2019.0,663
,551
2008.0,457
2007.0,393
2006.0,393
2018.0,351
2017.0,314
2005.0,307
2009.0,303
2004.0,270
2016.0,227
2003.0,226
2010.0,222
2011.0,211
2001.0,202
2015.0,199
2000.0,195
2002.0,188
2012.0,175
2014.0,168
2013.0,160
1996.0,147
1999.0,144
1995.0,138
1992.0,135
1997.0,130
1991.0,130
1990.0,120
1998.0,118
1994.0,113
1993.0,95
1989.0,86
1988.0,72
1980.0,69
1987.0,61
1978.0,57
1985.0,55
2021.0,53
1986.0,50
1979.0,50
1984.0,40
1976.0,40
1981.0,40
1975.0,30
1974.0,30
1972.0,27
1983.0,27
1982.0,25
1973.0,23
1971.0,20
1970.0,17
1965.0,16
1967.0,16
1977.0,14
1968.0,12
1969.0,11
1963.0,11
1961.0,11
1910.0,10
1962.0,8
1922.0,7
1958.0,7
1950.0,6
1964.0,6
1960.0,6
1966.0,6
1930.0,6
1925.0,5
1954.0,5
1956.0,5
1955.0,5
1959.0,5
1948.0,5
1926.0,5
1936.0,5
1952.0,4
1928.0,4
1927.0,4
1920.0,4
1911.0,4
1907.0,4
1919.0,4
1903.0,3
1934.0,3
1909.0,3
1906.0,3
1901.0,3
1905.0,3
1924.0,3
1923.0,3
1951.0,3
1933.0,3
1940.0,3
1929.0,3
1908.0,2
1953.0,2
1913.0,2
1939.0,2
1938.0,2
1957.0,2
1915.0,2
1949.0,2
1904.0,1
1895.0,1
1931.0,1
1945.0,1
1947.0,1
1942.0,1
1937.0,1
1912.0,1
1897.0,1
1889.0,1
1914.0,1
1946.0,1
1902.0,1
1900.0,1
1885.0,1
1935.0,1
1941.0,1
1917.0,1
1898.0,1
